ID,ProdID,TimeStamp,Rating,ReviewCount,Category,Brand,Name,ImageURL,Description,Price,Tags,TimeStampDay,Total_Spend,Day_Of_Week,Hour,Year,Month
0.0,585.0,2020-07-01 03:49:29+00:00,0.0,0.0,"health, superfoods, cleanses, superfoods, apple, cider, vinegar","totally, products",Totally Products Apple Cider Vinegar High Potency (120 Capsules),https://i5.walmartimages.com/asr/30c19698-094b-4989-a807-da98339947eb_1.41ab0fc9d430a17f4bc38443323d10c6.jpeg | https://i5.walmartimages.com/asr/ae5991e0-caea-4e19-be1c-4a3f2a96ce4c_1.c3a787baec11fe7499e9d65688d4235c.jpeg,"acv, helps, weight, loss, breaking, fats, body, use, store, apple, cider, vinegar, meal, help, suppress, appetite, speed, metabolism, prevent, bloating, blood, sugar, check, apple, cider, vinegar, completely, natural, product, resulting, fermentation, apple, juice, hard, apple, cider, followed, second, fermentation, apple, cider, natural, product, retains, nutritional, goodness, apples, plus, fortified, extra, acids, enzymes, produced, fermentation, sum, ingredients, apple, cider, vinegar, amazing, health, potassium, mineral, times, lacking, adult, diets, mineral, key, growth, building, muscles, transmission, nerve, impulses, heart, activity, etc, helps, prevent, brittle, teeth, hair, loss, runny, acetic, acid, acid, said, slow, digestion, starch, help, lower, rise, glucose, commonly, occurs, ash, gives, acv, alkaline, property, aids, body, maintaining, proper, ph, levels, healthy, alkaline, state, particularly, important, drink, lot, coffee, help, regulate, blood, pressure, reduce, bad, malic, acid, gives, acv, anti, viral, anti, bacterial, anti, fungal, help, improve, bowel, irregularity, helps, remove, toxins, body, faster, help, clear, skin, conditions, helps, weight, loss, breaking, fats, body, use, store, lab, studies, found, acv, able, kill, cancer, cells, slow, benefits, shown, include, relieving, workout, exhaustion, whitening, teeth, tummy, troubles, hiccups, indigestion, prevention, night, time, leg, cramps, stuffy, nose, sore, throat, size, 120, capsules, active, ingredients, apple, cider, vinegar, medicine, form, caplets, medicine, form, caplets, note, orders, 151, pounds, shipped, freight, carrier, oversized, item, delivery, return, policy, apply, click, information, accept, returns, product, size, 120, capsules, active, ingredients, apple, cider, vinegar, medicine, form, caplets",29.99,"totally, products, apple, cider, vinegar, high, potency, 120, capsules, wal, mart",2020-07-01,29.99,2,3,2020,7
0.0,6.0,2020-07-01 04:32:34+00:00,3.6,760.0,"beauty, hair, care, hair, care, brands, hair, care",paris,"LOreal Paris Excellence Creme Triple Protection Color Creame 100% Gray Coverage Natural Ash Black Cooler 3A Hair Color, 1 Kt",https://i5.walmartimages.com/asr/4becac6c-e293-4382-9139-c549cc4ced83_1.4542dae42b6b8ada8cd77d5eed65f22b.jpeg | https://i5.walmartimages.com/asr/f13cb4fc-da57-41a7-8cf3-0b9955171fed_1.a542195bcb406d34050257794f64f122.jpeg | https://i5.walmartimages.com/asr/7c245be9-7621-4cf2-8c2a-715b9fea93cf_1.0dc25182969d80d60b0e9b627939473f.jpeg | https://i5.walmartimages.com/asr/3a370d05-c589-49ff-9737-1f7c2b0c6ad9_1.d79026aec7e891332300b140e570a6ca.jpeg,"permanent, haircolor, level, 3, cooler, natural, ash, black, 3a, 1, application, triple, protection, color, creme, non, drip, protects, fragile, hair, 100, long, lasting, gray, coverage, protects, better, covers, gray, better, time, time, compared, leading, competitors, selling, brand, protective, pre, color, serum, treats, fragile, areas, hair, particularly, dry, ends, color, hair, protected, prepared, colored, evenly, excellences, extra, protective, color, creme, gives, hair, rich, radiant, color, covers, resistant, grays, perfectly, covers, gray, better, compared, leading, competitors, selling, brand, non, drip, creme, wraps, strand, multi, dose, color, conditioner, deep, treats, hair, coloring, protects, hair, coloring, results, 100, perfect, gray, coverage, rich, deep, perfectly, color, fragile, hair, perfectly, protected, weeks, 3a, ideal, shade, want, cool, shade, minimizes, brassiness, unwanted, warm, red, tones, kit, contains, protective, color, creme, protective, creme, developer, protective, ceramide, protein, conditioner, insert, salon, gloves, exclusive, applicolor, comb, protective, pre, color, serum, color, results, guide, color, vary, depending, natural, hair, color, special, advice, 50, gray, hair, results, slightly, lighter, looking, color, results, guide, red, hair, color, results, ash, black, shade, cooler, tone, minimize, red, orange, tones, read, follow, insert, store, 50, 80, degrees, haircolor, cause, allergic, reaction, certain, rare, cases, severe, follow, precautions, use, reaction, haircolor, product, sensitive, itchy, damaged, scalp, tattoo, risks, allergic, reaction, increased, perform, skin, allergy, test, 48, hours, use, product, insert, remember, buy, product, 2, days, ahead, time, avoid, contact, product, eyes, skin, product, gets, eyes, rinse, immediately, wear, gloves, provided, kit, thoroughly, rinse, hair, application, use, compound, henna, progressive, color, wait, 14, days, bleaching, relaxing, perming, coloring, product, reach, children, apply, children, product, contains, ingredients, cause, skin, irritation, certain, individuals, preliminary, test, according, accompanying, directions, product, dyeing, eyelashes, eyebrows, cause, blindness, 1, application, new, york, ny, 10017, level, 3, permanent, protects, better, covers, gray, better, gives, hair, rich, radiant, color, kit, contains, protective, color, creme, protective, creme, developer, protective, ceramide, protein, conditioner, insert, salon, gloves, exclusive, applicolor, comb, protective, pre, color, serum, protects, fragile, hair",7.97,"paris, excellence, creme, triple, protection, color, creame, 100, gray, coverage, natural, ash, black, cooler, 3a, hair, color, 1, kt, wal, mart",2020-07-01,7.97,2,4,2020,7
0.0,1.0,2020-07-01 05:45:18+00:00,3.9,7484.0,"beauty, hair, care, hair, color, permanent, hair, color",garnier,"Garnier Nutrisse Nourishing Hair Color Creme (Browns), 41 Dark Nude Brown, 1 kit",https://i5.walmartimages.com/asr/24d7a837-51f8-4f09-b8f2-a5192a31a4b6_1.7a122d608570983de556a9b61ea45db3.jpeg | https://i5.walmartimages.com/asr/aa5eee7b-e036-4a75-9b42-6d679a9de8a9_1.dff0702a617154e9073f872eac1f3f3b.jpeg | https://i5.walmartimages.com/asr/618b8f6f-0482-4055-9f47-52507f95f161_1.0a78c95d1f06be9fabd2aad3e38da8a7.jpeg | https://i5.walmartimages.com/asr/9201934c-39b3-4393-b154-a305b20afd86_1.f622bfddd13789d9f2049e28bc886b17.jpeg | https://i5.walmartimages.com/asr/c98985b4-7fcb-4040-a6e0-672066236aa5_1.db6b0a993a8650828a2deb9970113631.jpeg | https://i5.walmartimages.com/asr/6a942c0a-2ba8-4c3b-92f8-b85a9c8b373a_1.a18e98a730d21b368e157e66725cd81d.jpeg | https://i5.walmartimages.com/asr/2f9c5e29-fbec-44c4-83d5-197a0233a5ef_1.597209696468d769f0269860c1a289c7.jpeg | https://i5.walmartimages.com/asr/f6123d92-90e1-47a6-9176-7daa31f167df_1.920d34a65e7cfa864c91c54a329de509.jpeg | https://i5.walmartimages.com/asr/4940f1ab-577b-40b3-9798-95ec23f7ade8_1.98e4c9114343ed36259780dcc42593c0.jpeg | https://i5.walmartimages.com/asr/f3a51e29-bbdb-47d6-8cba-ec293ce07a95_1.87cf194b52aa610a290ea66e988075e7.jpeg | https://i5.walmartimages.com/asr/f432ba1c-ef96-4af8-a6cf-5975ca2ceb73_1.aef573e1cb44410809cf9d35ecbccb71.jpeg | https://i5.walmartimages.com/asr/ebdeaae8-0793-4aef-a9e3-dd279359530e_1.46323da3e48c37925779c867da0d170e.jpeg | https://i5.walmartimages.com/asr/3938e782-11f0-43f6-9f80-552b87111a82_2.b83dba25dea18435a35d794c28f3fa8f.jpeg | https://i5.walmartimages.com/asr/e454f130-1d42-477f-89f5-addfe32c832b_1.489889a944e74294c5402676bb022583.jpeg,"garnier, nutrisse, nourishing, hair, color, creme, best, light, brown, hair, dark, brown, hair, color, garnier, nutrisse, brunette, needs, covered, garnier, nutrisse, hair, color, creme, nourishes, color, avocado, olive, shea, oils, nourishing, color, creme, enriched, fruit, oil, concentrate, penetrates, deep, hair, fibers, nourish, condition, hair, takes, color, better, holds, longer, root, tip, garnier, nutrisse, delivers, rich, radiant, long, lasting, hair, color, 100, grey, coverage, permanent, nourishing, brown, hair, color, creme, fruit, avocado, olive, shea, hair, color, creme, separate, ampoule, grape, seed, oil, start, nourishing, color, rich, radiant, long, lasting, color, 100, percent, grey, coverage, available, 45, nourishing, shades",4.44,"garnier, nutrisse, nourishing, hair, color, creme, browns, 41, dark, nude, brown, 1, kit, wal, mart",2020-07-01,4.44,2,5,2020,7
0.0,532.0,2020-07-01 08:02:05+00:00,5.0,1.0,"beauty, makeup, nails",sensationail,"Sensationail Gel Nail Color Polish &quotFuchsia Fab&quot, Red Gel Color, 0.25 fl oz (7.39 mL) (Packaging May Vary)",https://i5.walmartimages.com/asr/03c2bbf8-f4bd-4331-9d31-4cc410db9d59_1.267351a3d9ce7c7a41a89a5c2613125b.jpeg | https://i5.walmartimages.com/asr/eb55919e-e2df-4544-be6f-21dab19a9b38_1.e3f84568579e8268153f03010b990700.jpeg,"treat, nails, luxury, deserve, looking, better, sensationail, gel, color, nail, polish, quotfuchsia, fl, oz, bottle, sensationail, gel, color, nail, polish, need, update, nail, color, wanted, fashion, trend, colors, quotfuchsia, red, gel, color, s, sure, complement, kinds, nails, thicker, consistency, regular, nail, polish, goes, easily, minutes, cures, seconds, 2, weeks, chipping, peeling, fading, try, pick, sensationail, gel, color, nail, polish, today, nails, makeover, update, fashion, trend, color, fuchsia, fab, red, gel, color, polish, s, sure, look, great, nails, thicker, consistency, regular, nail, polish, goes, minutes, easy, applicator, cures, seconds, nails, action, short, period, time, lasts, 2, weeks, chipping, peeling, fading, fl, oz, applicator, compact, easily, fits, bag, use, led, lamp",23.81,"sensationail, gel, nail, color, polish, quotfuchsia, red, gel, color, fl, oz, ml, packaging, vary, wal, mart",2020-07-01,23.81,2,8,2020,7
0.0,0.0,2020-07-07 20:16:18+00:00,4.2,12.0,"personal, care, shaving, nose, hair, trimmer",kadell,Wet Dry Unisex Painless Stainless Steel Blade Men Women s Fashion Personal Face Grooming Care Electric Nose Ear Face Nose Hair Removal Trimmer Shaver Clipper Remover,https://i5.walmartimages.com/asr/7af6c2eb-4f0f-43e1-9523-1c3e8f23a2bf_1.73edcb2736bfaadced91f2b4a5d4bc14.jpeg,"material, german, stainless, steel, 1, brand, new, high, quality, 2, curved, hypoallergenic, stainless, steel, blade, 3, trim, ears, eyebrows, sideburns, neck, nostrils, chest, want, cut, extra, hair, 4, smooth, motor, provides, quick, painless, movement, 5, eliminate, traditional, need, scissors, remove, unsightly, nostril, ear, hair, higher, security, provided, 6, rotary, blade, system, circular, blade, action, effectively, trims, overgrown, hair, nose, ear, wall, 7, safety, cone, head, guides, hair, blade, protects, skin, direct, contact, 1, condition, new, 2, powered, supply, 1, x, aa, battery, included, 3, size, x, x, cm, 4, material, plastic, 5, color, red, silver, use, 1, pushed, open, key, 2, trimmer, nostrils, rotation, cycle, action, trim, nasal, hair, 3, close, nose, hair, trimmer, 4, cover, shield, prevent, damage, outer, foil, cap, protect, blade, use, 1, condition, new, 2, powered, supply, 1, x, aa, battery, included, 3, size, x, x, cm, 4, material, plastic, shell, 5, color, red, ears, eyebrows, sideburns, neck, nostrils, chest, want, cut, extra, hair, hypoallergenic, stainless, steel, blade, motor, provides, quick, painless, movement, 4, powered, supply, 1, x, battery, included, 5, size, x, x, cm, 6, color, red, silver",12.99,"wet, dry, unisex, painless, stainless, steel, blade, men, women, fashion, personal, face, grooming, care, electric, nose, ear, face, nose, hair, removal, trimmer, shaver, clipper, remover, wal, mart",2020-07-07,12.99,1,20,2020,7
0.0,4.0,2020-07-08 00:16:05+00:00,4.8,283.0,"personal, care, bath, body, loofahs, bath, sponges, accessories",kitsch,"Luxury Shower Cap for Women- Most Comfortable Fit, Waterproof & Mold Resistant, Reusable Shower Caps by Kitsch (Floral)",https://i5.walmartimages.com/asr/27441d34-fabd-4d8b-ab0a-a12bb555faa6_1.2d9772f69c68e4805c2e7e75ac920ce2.jpeg,"look, chic, shower, revolutionary, shower, cap, 100, nylon, elastic, band, stretch, accommodate, head, sizes, waterproof, comfortable, chic, functional, fashionable, locks, dry, protected, shower, bathe, measures, suitable, head, circumference, shower, cap, hair, shower, cap, supposed, keeps, water, unlike, tend, leak, treat, best, shower, cap, ve, owned, like, average, flimsy, shower, cap, cute, makes, great, gift, perfect, heads, lot, hair, little, satisfaction, guaranteed, completely, satisfied, simply, contact, refund, questions, asked",14.99,"luxury, shower, cap, comfortable, fit, waterproof, mold, resistant, reusable, shower, caps, kitsch, floral, wal, mart",2020-07-08,14.99,2,0,2020,7
0.0,49193.0,2020-07-08 06:23:43+00:00,3.7,2880.0,"beauty, hair, care, hair, color, auburn, hair, color",clairol,"Clairol Natural Instincts Demi-Permanent Hair Color Creme 5R Medium Auburn, 1 Application",https://i5.walmartimages.com/asr/8d1370b5-4aab-4885-902b-d11f637f7b65_2.eaf0e69951a5a543deb67abc98cd55e4.jpeg | https://i5.walmartimages.com/asr/c14d0ffe-927c-4371-bf9c-4f4920b79b61_2.b6054701d452c9399fd7db2c595fe53d.jpeg | https://i5.walmartimages.com/asr/ba27654a-37e2-42c1-b099-8a7a7c2f81d4_1.bd6dfc2ae2cfdb3c1e19be61e90df1ad.jpeg | https://i5.walmartimages.com/asr/2025c2c4-d681-4e83-905a-38e4d55461de_2.e9b297ffed0277c3222516cb55e6dfea.jpeg | https://i5.walmartimages.com/asr/ec1ab502-5082-4328-a029-e9a850443aed_2.6417aa5c8be5add929b6ed9967c6766f.jpeg | https://i5.walmartimages.com/asr/24bd63bb-4ca1-43da-bbb3-1d5fb2d2ceec.f615f7bb71d3f1d7956c93387874617d.jpeg | https://i5.walmartimages.com/asr/ec62b3ba-ca34-4e50-8986-a3f3493ea60b_2.d05eb56567099b1ce0db0ac095c20c9e.jpeg,"discover, natural, way, shine, 80, naturally, derived, ingredients, clairol, natural, instincts, gives, rush, radiant, natural, looking, color, feel, good, gentle, ingredients, like, coconut, oil, aloe, vera, ammonia, added, parabens, drip, formula, designed, feel, like, conditioner, gentle, hair, types, textures, treat, color, blends, away, grays, boosts, shine, lasts, 28, washes, available, 37, natural, shades, find, black, brunette, blonde, red, hue, s, totally, use, hair, color, chart, find, ideal, shade, rush, color, boost, shine, 80, naturally, derived, ingredients, ammonia, added, parabens, lasts, 28, washes, blends, away, grays, available, 37, enhances, natural, color, boosts, shine, radiant, healthy, looking, hair, coconut, aloe, vera, yes, ammonia, added, parabens, drip, formula, designed, feel, like, conditioner, gentle, hair, types, textures, gentle, color, hair, 80, naturally, derived, ingredients, lasts, 28, washes, blends, away, grays, available, 37, shades, blonde, brown, black, red",6.92,"clairol, natural, instincts, demi, permanent, hair, color, creme, 5r, medium, auburn, 1, application, wal, mart",2020-07-08,6.92,2,6,2020,7
0.0,15.0,2020-07-08 12:20:07+00:00,4.1,9.0,"premium, beauty, premium, facial, skincare, premium, face, cleansers",proactiv,"($50 Value) Proactiv Renewing Acne Cleanser, Face Wash for Acne Prone Skin, 4 Oz - 2 Pack",https://i5.walmartimages.com/asr/a903882b-3676-40d4-bbc3-954a44f5f87b_1.3dc903783f63ba29f7c2f461c1b273fd.jpeg,,29.75,"50, value, proactiv, renewing, acne, cleanser, face, wash, acne, prone, skin, 4, oz, 2, pack, wal, mart",2020-07-08,29.75,2,12,2020,7
0.0,185.0,2020-07-08 15:32:59+00:00,3.8,901.0,"beauty, hair, care, shampoo, shampoo",aussie,Aussie Total Miracle Collection 7N1 Dry Shampoo 4.9 fl oz,https://i5.walmartimages.com/asr/b636054b-9bdb-46aa-8c03-204816b5cb86_1.82047ec6ff869c0b23629a37e595c2c7.jpeg | https://i5.walmartimages.com/asr/513c7c47-835d-4202-a264-7bd091d0dbcf_1.e81eb5543eb257d00eca5e9ae449bb52.jpeg | https://i5.walmartimages.com/asr/2ff19ba0-a2a6-48be-a529-ab7b4be529ee_1.2eb61a939678adde30311f181de5dd5d.jpeg | https://i5.walmartimages.com/asr/6fe6af3c-e8d3-4b2c-a957-8fd42a72781e_3.935809a4324dcde28c82b8bf6de7fd72.jpeg | https://i5.walmartimages.com/asr/9ea7a6c7-54ba-463e-b236-6aec0df90d7d_1.861fdeb28d25af123ad32e5ec32740a8.jpeg | https://i5.walmartimages.com/asr/5ebff827-d8a5-48f3-9247-55149c9c4ba5_1.e1a6ce7eca8036b5fbf8fb14f259c555.jpeg,"freshen, tresses, boost, clean, days, shampoos, whip, aussie, total, miracle, collection, 7n1, dry, shampoo, refresh, hair, 1, easy, step, shake, shake, nt, afraid, little, muscle, spray, directly, roots, instant, boost, freshness, natural, tapioca, instantly, absorbs, excess, oil, cutting, time, hair, care, routine, tropical, scent, leaves, smelling, aussome, total, miracle, collection, 7n1, dry, shampoo, miracle, clean, packing, 7, benefits, spray, 1st, day, clean, look, boost, freshness, lightweight, fullness, color, protection, refreshed, feel, matte, finish, aussome, scent, hair, care, routine, minute, carefree, hair, time, spare, pair, aussie, total, miracle, collection, 7n1, shampoo, conditioner, 100, miraculous, hair, aussie, total, miracle, collection, 7n1, dry, shampoo, fl, oz, easily, refresh, hair, washes, aussie, total, miracle, collection, 7n1, dry, shampoo, making, morning, routine, breeze, cut, major, time, hair, care, routine, shake, spray, clean, looking, hair, style, boost, color, protection, simple, step, instantly, absorbs, excess, oil, natural, tapioca, fl, oz",4.58,"aussie, total, miracle, collection, 7n1, dry, shampoo, fl, oz, wal, mart",2020-07-08,4.58,2,15,2020,7
0.0,6592.0,2020-07-08 21:40:27+00:00,4.1,1889.0,"beauty, beauty, brands, makeup",paris,"LOreal Paris Voluminous Original Washable Bold Eye Mascara, Deep Burgundy, 0.26 fl. oz.",https://i5.walmartimages.com/asr/f736e443-a33c-4ea1-b1c7-12229da31a38.e0a32115e1b971294369e352a8eee5bf.jpeg | https://i5.walmartimages.com/asr/72a8905d-e2ed-4ef9-8983-8a89acc035d6.219639c99bff42454324870e12f4b918.jpeg | https://i5.walmartimages.com/asr/fcd30fc5-0413-47ff-b258-c7082340f508.2b9a678c9ca724094a55bbc91208787d.jpeg | https://i5.walmartimages.com/asr/79f3f6fa-1771-4117-99e7-26dc3cfa649c_1.32f76d04dba1c50f070793eed2663745.jpeg | https://i5.walmartimages.com/asr/097e44a8-7458-4e36-84ca-3772c97bdf4b_1.6a5411447b5b4e175d3fa00e62ba75d3.jpeg | https://i5.walmartimages.com/asr/783d3e30-ef1f-49b8-a2b9-d8e7c7484b6c_1.680acd5f37675d46a1bf7b5d6595bafc.jpeg | https://i5.walmartimages.com/asr/dbc3bbe2-b93a-4b7a-a4f1-0dc6a9ae1365_1.5809899e2c38697f48b2b66cc00df007.jpeg | https://i5.walmartimages.com/asr/b82854e7-959e-4dcc-8e86-8065c96b4601.5afd3cd08de9ca2e36e8f9ffc929f8c5.jpeg | https://i5.walmartimages.com/asr/33e3dd70-664d-4475-843c-b84bd3cd53f3_1.140b98bc38032aa6767883a45c2cac1f.jpeg | https://i5.walmartimages.com/asr/fb14b7ba-a6bb-43d8-bfb8-29e0d0a41259.14ac2e02adc9558d4e8abd33bf609dca.jpeg | https://i5.walmartimages.com/asr/8670c952-c26a-466d-a16a-c4c0a56a8141.6a750f85515ca5f8de9a7d7cc9e9181d.jpeg | https://i5.walmartimages.com/asr/55378419-b009-4d6e-a104-ce901096047d_1.919146f340cfb3d7d22bb8599c428fa7.jpeg,"loreal, paris, voluminous, original, volume, building, mascara, uniquely, formulated, resist, clumping, lashes, soft, build, lashes, 5x, natural, thickness, volume, maximizing, brush, quickly, thickens, builds, lashes, evenly, bold, look, contains, panthenol, ceramide, r, helps, protect, condition, lashes, resists, clumping, flaking, leaves, lashes, supple, soft, touch, packaging, vary, receive, reflected, site, bold, volume, building, mascara, lengthening, mascara, creates, 5x, fuller, thicker, lashes, separates, builds, lash, clump, free, smudge, resistant, mascara",6.74,"paris, voluminous, original, washable, bold, eye, mascara, deep, burgundy, fl, oz, wal, mart",2020-07-08,6.74,2,21,2020,7
