ID,ProdID,TimeStamp,Rating,ReviewCount,Category,Brand,Name,ImageURL,Description,Price,Tags,TimeStampDay,Total_Spend,Day_Of_Week,Hour,Year,Month
0.0,781669.0,2020-07-14 14:38:50+00:00,0.0,0.0,"household, essentials, cleaning, supplies, purpose, cleaners","unique, bargains",Dormitory Plastic Watering Flower Plant Tree Trigger Spray Bottle Pink 180ml,https://i5.walmartimages.com/asr/234614b9-54ee-4b56-a4b7-1529b0337eeb_1.7b6ed5e4534b220ae21bb139c3be2e41.jpeg,"garden, widely, water, flower, garden, indoor, use, cleaning, solutions, house, lawn, garden, misting, watering, plants, succulents, herbs, ironing, laundry, car, detailing, janitorial, sprayers, exterior, sides, fit, hand, comfortably, eliminating, hand, fatigue, allow, 2, 3, cm, error, manual, measurment, available, color, quantity, brown, 1pcs, brown, 2pcs, brown, 3pcs, brown, 4pcs, pink, 1pcs, pink, 2pcs, pink, 3pcs, pink, 4pcs, net, weight, 42, 168, g, package, content, x, trigger, spray, bottles, product, trigger, spray, bottle, size, x, x, x, x, capacity, 180ml, variation, theme, color",14.46,"dormitory, plastic, watering, flower, plant, tree, trigger, spray, bottle, pink, 180ml, wal, mart",2020-07-14,14.46,1,14,2020,7
0.0,61.0,2020-07-14 18:20:45+00:00,0.0,0.0,"household, essentials, paper, plastic, disposable, tabletop, paper, plates","unique, industries","AR Interactive Toy Story Paper Dessert Plates, 7in, 8ct",https://i5.walmartimages.com/asr/0c86f6a3-c988-4676-a09a-b187a974e9bb_1.8b99f02e912a4c56b87e36ab694038dc.jpeg | https://i5.walmartimages.com/asr/afd46a72-e231-49b9-bded-953f2480cbcf_1.628118409aa1e21fee71eb19c4773bfb.jpeg,"serve, sweets, fun, surprise, ar, interactive, toy, story, paper, dessert, plates, 7, inch, paper, plates, feature, slinky, jessie, hamm, rex, ll, add, loads, excitement, toy, story, birthday, party, set, comes, 8, plates, enabled, augmented, reality, technology, activate, feature, download, free, mardles, app, apple, android, phone, point, device, plate, bo, peep, appear, help, controller, screen, switch, facing, camera, snap, selfie, party, look, toy, riffic, shopping, rest, budget, friendly, toy, story, themed, party, supplies, 8, ar, interactive, toy, story, dessert, plates, paper, plates, measure, extra, strong, disposable, plates, use, augmented, reality, bring, bo, peep, life, download, mardles, app, smart, phone, activate, special, features, awesome, toy, story, themed, birthday, party, combine, toy, story, party, supplies",14.4,"ar, interactive, toy, story, paper, dessert, plates, 7, 8ct, wal, mart",2020-07-14,14.4,1,18,2020,7
0.0,22994.0,2020-07-21 15:31:09+00:00,5.0,4.0,"household, essentials, cleaning, supplies, cleaning, tools, spray, bottles",global,1 Amber 4oz Boston Round Glass Bottle White Spray Fine Ribbed Mist Sprayer,https://i5.walmartimages.com/asr/e4071aa3-bc2d-48d4-bbde-1217d2a621d9_1.f7b71ff42617a84016cc2238d3b962e6.jpeg,"amber, glass, bottles, provide, professional, display, perfect, storing, materials, sensitive, degradation, light, oftentimes, store, essential, oils, ideal, storing, chemistry, laboratory, chemicals, perfumes, colognes, travel, dispenser, medicine, cabinet, amber, 4, oz, boston, round, glass, bottle, white, spray, fine, ribbed, mist, sprayer",4.89,"1, amber, 4, oz, boston, round, glass, bottle, white, spray, fine, ribbed, mist, sprayer, wal, mart",2020-07-21,4.89,1,15,2020,7
0.0,9.0,2020-07-21 18:04:02+00:00,0.0,0.0,"household, essentials, air, fresheners, air, freshener, refills, air, freshener, refills","air, wick","Air Wick Plug in Scented Oil Starter Kit, (Warmer + 1 Refill), Apple Cinnamon Medley, Air Freshener Essential Oils",https://i5.walmartimages.com/asr/ec9ff88d-f138-4d77-8065-2790f66e334b.5e0e9dc6db72bfb63d29c7a6ef7d6dee.jpeg | https://i5.walmartimages.com/asr/b027a002-fc48-4ee8-9107-b0e0cc2aab7f_1.f2a88eb98ccb8cb5c5307fe7100c1528.jpeg | https://i5.walmartimages.com/asr/70807d7d-a82f-4483-aa58-8df4a7acdb11_1.2e7a0be154ecac966631f0c84bdc3556.jpeg | https://i5.walmartimages.com/asr/70ead9e4-dc0b-4e68-940e-590323569795_1.e4a9822208fc71c2da5021df4cc191e5.jpeg | https://i5.walmartimages.com/asr/c65467c2-3fe4-4b27-8699-3564348e5b2b_1.cdbbd6a175741b60deca4e4f101f814a.jpeg | https://i5.walmartimages.com/asr/bc010191-5156-473d-aa48-f6e8f11020b6_1.064462d2724b53435feea45aad25e9f8.jpeg | https://i5.walmartimages.com/asr/9a093fb5-0fee-4e44-9dec-ef84e37ad47a_1.4d630fb3f617be8ef703b6381ea1d036.png,"enhance, homes, scent, air, wick, scented, oil, refills, infused, 100, natural, essential, oils, air, wick, scented, oil, refills, release, continuous, fragrance, 60, days, based, low, setting, home, smells, welcoming, latest, air, wick, scented, oil, warmer, releases, fragrance, upwards, outwards, reaching, corner, room, consistent, fragrance, experience, air, wick, scented, oil, warmer, allows, choose, 5, fragrance, settings, right, fragrance, continuously, diffuses, carefully, blends, fragrance, home, office, space, breathe, freshbaked, goodness, warm, spiced, cinnamon, apples, topped, brown, sugar, scoop, vanilla, ice, cream, infused, 100, natural, essential, oils, better, fragrance, experience, provides, 60, days, continuous, long, lasting, fragrance, refill, based, low, setting, easy, adjust, 5x, fragrance, settings, use, room, living, room, bathroom, bedroom, hallways, kitchens, office",2.97,"air, wick, plug, scented, oil, starter, kit, warmer, 1, refill, apple, cinnamon, medley, air, freshener, essential, oils, wal, mart",2020-07-21,2.97,1,18,2020,7
0.0,20.0,2020-07-22 09:07:49+00:00,0.0,0.0,"personal, care, shaving, beard, trimmers, tools, beard, trimmers",wahl,"Wahl Professional Animal Figura Equine Horse Cordless Clipper Kit (#8868-200), Refurbished",https://i5.walmartimages.com/asr/01250232-1ff6-4560-9e07-0a9d0f52dccb_1.5f7f992fddc9831a8774857cd1d826c3.jpeg,"product, information, featuring, ergonomic, design, red, metallic, finish, wahl, professional, animals, figura, horse, clipper, adds, style, comfort, super, slim, design, contoured, curved, body, fits, comfortably, hand, grooming, horse, clipper, iquiet, lightweight, clipper, features, lithium, ion, battery, contains, specialty, cells, provide, higher, current, power, torque, easy, glide, clipping, kit, includes, figura, rechargeable, horse, clipper, 5, detachable, blade, set, charging, stand, attachment, guide, combs, 9, inch, storage, case, cleaning, brush, blade, oil, instructions, usa, domestic, imported, parts, blades, germany, wahl, professional, animals, figura, horse, clipper, offers, professional, power, strokes, minute, 90, minutes, run, time, clipper, requires, 180, minutes, charge, time, optional, 10, minute, quick, charge, additional, 5, minutes, runtime, featuring, 5, blade, technology, adjustable, blade, sizes, 9, 10, 15, 30, 40, figura, horse, clipper, slim, quiet, lightweight, unique, curved, design, fit, comfortably, hand, grooming, backed, wahls, 1, year, limited, warranty, use, usa, electrical, outlets, international, use, usa, domestic, imported, parts, blades, germany, includes, figura, lithium, ion, rechargeable, clipper, 5, detachable, blade, set, charge, stand, attachment, guide, combs, 9, inch, storage, case, cleaning, brush, blade, oil, instructions, wahl, professional, animal, figura, equine, horse, cordless, clipper, kit, 8868, 200, refurbished",119.99,"wahl, professional, animal, figura, equine, horse, cordless, clipper, kit, 8868, 200, refurbished, wal, mart",2020-07-22,119.99,2,9,2020,7
0.0,8.0,2020-07-23 03:51:36+00:00,5.0,3.0,"beauty, beauty, hair, care, hair, tools, hair, scalp, treatments",,It 12-in-One Amazing 2 Minute Deep Repair Treatment Masque 10.2 oz. Bottle,https://i5.walmartimages.com/asr/db0d0b1a-8de8-4e5b-a7c0-27d081434148_1.db300341b278a56eeb2b985addef1c86.jpeg | https://i5.walmartimages.com/asr/e23878d9-e72e-4a46-8c5a-5267dd418a11_1.39c5cc5ee94785a8e2ee3df2e1554174.jpeg | https://i5.walmartimages.com/asr/12459eb3-3f21-4f3b-92b9-0e24445845ad_1.fecb35ab72a385af499a82b10022fe0d.jpeg | https://i5.walmartimages.com/asr/3f67005d-86c6-470b-bfd9-23b46c268976_1.8e3508ff7122ce68abddbe8e33324016.jpeg,"pick, product, s, sure, treat, hair, right, 12, amazing, 2, minute, deep, repair, treatment, masque, hard, working, product, hair, types, helps, repair, dry, damaged, hair, strengthening, hydrating, hair, fast, acting, easy, use, masque, free, harmful, substances, gluten, sulfates, parabens, offering, uv, protection, ready, enjoy, sun, product, transform, frizzy, tangled, hair, shiny, silky, state, look, feel, great, bottle, best, directions, use, 12, amazing, 2, minute, deep, repair, treatment, masque, great, product, taking, care, hair, types, styles, fast, acting, masque, hair, looking, feeling, healthy, time, helps, fight, dryness, tangles, hair, hydrated, contains, harmful, gluten, sulfates, parabens, superior, cleaning, quality, included, uv, protection, hair, look, great, sun, need, worry, damage",9.18,"12, amazing, 2, minute, deep, repair, treatment, masque, oz, bottle, wal, mart",2020-07-23,9.18,3,3,2020,7
0.0,36.0,2020-08-04 15:06:17+00:00,4.2,14.0,"industrial, scientific, janitorial, sanitation, supplies, cleaning, chemicals, commercial, dish, detergents","genuine, joe","Genuine Joe Professional Strength Lemon Dish Detergent Refill, 1 gal",https://i5.walmartimages.com/asr/89380ddf-baa6-4e98-80f2-2e8d265cdba1_1.eabfe0f672e2d85ebb75b0588e5e0a9c.jpeg | https://i5.walmartimages.com/asr/5d336ec3-e86b-4297-83c1-86045769ed7d_1.7b65427c1a050421615173995ea14fae.jpeg,"easily, clean, pots, pans, genuine, joe, professional, strength, dish, detergent, refill, strong, institutional, use, features, grease, cutting, formula, produces, long, lasting, suds, hand, dishwashing, detergent, lemon, scented, comes, easy, pour, container, handle, designed, clean, encrusted, pans, minimum, soaking, time, leave, film, glassware, genuine, joe, professional, strength, lemon, dish, detergent, refill, refill, delivers, fast, grease, cutting, emulsification, lasting, suds, institutional, use, ideal, cleaning, encrusted, pots, pans, requiring, minimum, soaking, time, lemon, scented, detergent, generates, hardworking, suds, leaves, glassware, china, pots, pans, film, free, generates, mountains, hardworking, suds, 1, gallon, lemon, dish, detergent, easy, pour, container",16.01,"genuine, joe, professional, strength, lemon, dish, detergent, refill, 1, gal, wal, mart",2020-08-04,16.01,1,15,2020,8
0.0,12326.0,2020-08-18 17:12:05+00:00,4.6,605.0,"household, essentials, laundry, high, efficiency, laundry, detergent, high, efficiency, liquid, laundry, detergent",xtra,"Xtra Tropical Passion Liquid Laundry Detergent, 315 fl oz",https://i5.walmartimages.com/asr/46d42581-45a8-41d8-9af4-b3a274808fea_1.37f93399e3fdd2263f7be25cda95fbc3.jpeg | https://i5.walmartimages.com/asr/f5963af9-bc0c-4e30-a4ce-2864b7107be1_1.148e4c5946680d44da64b2e992274479.jpeg | https://i5.walmartimages.com/asr/20bb52d5-f6ec-4c65-ac0d-bf498283c62c_1.436b7f4ff5c27d14be742292168a5b66.jpeg | https://i5.walmartimages.com/asr/043c300d-d11d-485e-ba01-9d13605c2e2f_1.5843d4801869eeff3ce128ba950f36b2.jpeg | https://i5.walmartimages.com/asr/f682afe3-3c67-44db-981e-259d662ebd09_1.c2253dca30a2f5fd4c7bfe2bd1156410.jpeg,"remove, dirt, grime, experience, exotic, blend, sumptuous, fruits, papaya, guava, nectar, green, kiwi, island, petals, orchid, ylang, ylang, sweet, plumeria, mingled, fresh, watery, greens, delightful, sensation, xtra, tropical, passion, liquid, laundry, detergent, safe, types, washers, including, high, efficiency, models, warm, essences, cashmere, woods, patchouli, blossoms, transports, tropical, paradise, xtra, laundry, detergent, times, concentrated, formula, free, phosphates, leaves, long, lasting, freshness, xtra, tropical, passion, liquid, laundry, detergent, different, intoxicating, scents, available, comes, 315, fl, oz, container, pour, spout, molded, handle, convenience, xtra, tropical, passion, liquid, laundry, detergent, 315, fl, oz, 25, loads, versus, 166, load, detergents, safe, machines, including, models, phosphate, free, formula, long, lasting, freshness, xtra, liquid, laundry, detergent, tropical, passion, scent, net, weight, 315, fl, oz",8.13,"xtra, tropical, passion, liquid, laundry, detergent, 315, fl, oz, wal, mart",2020-08-18,8.13,1,17,2020,8
0.0,384.0,2020-08-25 15:21:41+00:00,3.0,4.0,"household, essentials, cleaning, supplies, purpose, cleaners","read, right","Read Right KeyWipes Keyboard & Hand Cleaner Wet Wipes, 5 x 6 7/8, 18/Box",https://i5.walmartimages.com/asr/3925a05f-0916-43f4-9285-0c1cedec7977_1.f9fa08ae28ec08736d4ab953a7ba0c09.jpeg | https://i5.walmartimages.com/asr/fa36671f-4eab-46d5-8445-0c63105bf00f_1.cc1003a1f8639ba9cd98f8c441e1209e.jpeg | https://i5.walmartimages.com/asr/e11bb9ce-a4a1-4461-8209-bb400e2dfe62_1.b97120a499e44c20f47961a019608210.jpeg | https://i5.walmartimages.com/asr/5c37b95e-5c94-41d4-89ca-0e2ebbe60e89_1.03fc2cfea41b2b72deac2d814cd1ead3.jpeg | https://i5.walmartimages.com/asr/3ab7c458-aac7-471f-b8d3-9b45c02f36db_1.b294ddad7946be544db69c7b74330bc8.jpeg | https://i5.walmartimages.com/asr/954fca0b-df93-4649-94a8-8acff0dc7797_1.5ee43fef2f0166a9fb6158155962919f.jpeg,"peripherals, gear, clean, sanitized, read, right, hand, cleaner, keyboard, cleaning, wipes, use, maintain, frequently, operated, items, home, office, classroom, setting, computer, keyboard, wipes, contain, step, antibacterial, formula, removes, types, common, bacteria, help, quickly, effectively, disinfect, electronic, equipment, office, machinery, hard, non, porous, surfaces, versatile, read, right, hand, cleanser, keyboard, cleaning, wipes, come, pre, moistened, special, epa, registered, formula, leave, harmful, residue, delightful, scent, helps, freshen, area, pack, contains, total, 18, germicidal, wipes, individually, wrapped, convenient, packing, transport, storage, read, right, keywipes, keyboard, hand, cleaner, wet, wipes, x, 6, 18, box, special, epa, registered, disinfectant, pre, moistened, single, step, antibacterial, formula, use, clean, disinfect, keyboards, office, equipment, hard, non, porous, surfaces, leaves, fresh, clean, scent, individually, wrapped, convenient, packing, storage, box, contains, 18, individual, read, right, keyboard, disinfectant, wipes, non, residue, formula, removes, types, bacteria, material, cloth, wipe, measures, x, suitable, home, office, school",5.76,"read, right, keywipes, keyboard, hand, cleaner, wet, wipes, 5, x, 6, 18, box, wal, mart",2020-08-25,5.76,1,15,2020,8
0.0,674.0,2020-08-25 15:33:07+00:00,5.0,1.0,"household, essentials, air, fresheners, air, freshener, refills, air, freshener, refills","air, wick","2 Pack - Air Wick Essential Mist Fragrant Mist Diffuser Refill, Peony & Jasmine 0.67 oz",https://i5.walmartimages.com/asr/e4536b42-7034-4918-bd26-0b060c303249_1.b7fddb651ea13408deeab278c80ee751.jpeg,"pack, 2, upc, 062338985558, product, description, discover, natural, premium, fragrance, experience, essential, oils, diffused, mist, new, airwick, essential, mist, diffuser, transforms, natural, essential, oils, gentle, fragrant, mist, surrounds, home, fragrances, love, 5, premium, fragrance, available, refills, lavender, almond, blossom, fresh, water, breeze, mandarin, sweet, orange, peony, jasmine, cinnamon, apple, crisp, transforms, natural, essential, oils, gentle, mist, compact, portable, essential, oil, diffuser, enhances, dãcor, adjustable, intensity, frequency, mist, scents, medium, large, rooms, mess, water, cleaning, needed, based, lowest, setting, provides, 45, days, long, lasting, continous, fragrance, refill, 2, pack, air, wick, essential, mist, fragrant, mist, diffuser, refill, peony, jasmine, oz",13.06,"2, pack, air, wick, essential, mist, fragrant, mist, diffuser, refill, peony, jasmine, oz, wal, mart",2020-08-25,13.06,1,15,2020,8
