,ID,PurchaseCount,Days_Since_Last_Purchase,Total_Transactions_Unique,Total_Products_Purchased,Total_Spend,Average_Transaction_Value,Unique_Products_Purchased,Average_Days_Between_Purchases,Day_Of_Week,Hour,Monthly_Spending_Mean,Monthly_Spending_Std,Spending_Trend,Spender_Category_Num,Frequency_Category_Num
0,0.0,204,1,173,173,3838.93,22.190346820809246,110,1.0,2,20,767.786,286.4339140709424,-162.175,2,3
1,1.0,189,1,156,156,4195.05,26.891346153846158,100,1.0,2,5,839.01,410.273156141125,-217.30100000000004,2,3
2,2.0,218,0,175,175,4266.75,24.38142857142857,110,1.0,2,22,853.35,449.32481252430273,-278.045,2,3
3,3.0,197,1,156,156,3681.43,23.598910256410257,101,1.0,2,2,736.286,523.8810401512924,-207.36,2,3
4,4.0,195,2,159,159,2684.64,16.884528301886792,94,1.0,2,17,536.928,291.06194198142776,-176.83800000000002,2,3
5,5.0,190,1,164,164,3359.56,20.48512195121951,97,1.0,2,0,671.912,351.9601320746428,-146.202,2,3
6,6.0,214,1,179,179,3743.04,20.910837988826817,112,1.0,2,15,748.608,491.5814318808228,-299.287,2,3
7,7.0,224,0,187,187,4240.02,22.67390374331551,102,1.0,2,15,848.0039999999999,414.3125417845808,-240.328,2,3
8,8.0,206,0,171,171,3585.58,20.96830409356725,112,1.0,2,4,717.116,513.2378548295127,-322.308,2,3
9,9.0,197,1,168,168,3794.94,22.58892857142857,98,1.0,2,4,758.988,435.94409993713646,-190.704,2,3
10,10.0,10,10,10,10,139.12,13.912,10,12.0,2,1,34.78,36.57753135464448,-8.913999999999998,2,2
11,11.0,14,22,12,12,253.77,21.1475,11,11.0,2,3,63.4425,59.16995373498276,-17.095000000000006,2,2
12,12.0,11,3,9,9,392.36,43.59555555555555,7,14.0,2,9,98.09,104.65999777055865,-64.97,2,2
13,13.0,18,2,17,17,437.78,25.75176470588235,16,7.0,2,13,87.556,52.168880858228114,-25.85,2,2
14,14.0,18,2,12,12,898.77,74.8975,11,11.0,2,0,224.6925,385.9024497957137,-241.325,2,2
15,15.0,7,3,6,6,52.63,8.771666666666667,6,22.0,2,0,13.1575,4.93194603241628,-2.9550000000000005,2,2
16,16.0,14,8,13,13,258.53000000000003,19.88692307692308,11,9.0,2,0,86.17666666666666,49.08113113339314,-36.33,2,2
17,17.0,10,7,8,8,293.13,36.64125,7,14.0,1,0,73.2825,62.880867453198086,-21.497000000000003,2,2
18,18.0,14,8,12,12,194.31,16.1925,10,11.0,2,1,48.5775,27.247702502535265,7.050999999999997,2,2
19,19.0,11,30,8,8,115.68,14.46,7,12.0,2,0,38.56,15.020159786100807,-7.449999999999999,2,2
20,20.0,9,15,6,6,160.38,26.73,5,28.0,2,5,80.19,61.5890006413483,87.10000000000001,2,2
21,21.0,10,16,7,7,153.52,21.93142857142857,7,16.0,2,2,38.38,19.827117793567474,-7.608,2,2
22,22.0,11,9,5,5,86.4,17.28,5,12.0,2,8,43.2,1.074802307403542,1.519999999999989,2,2
23,23.0,18,1,14,14,340.86,24.34714285714286,13,9.0,2,10,68.172,71.47802788269973,-29.705,2,2
24,24.0,13,2,11,11,278.8,25.345454545454547,11,10.0,2,7,55.760000000000005,48.7899093051012,-22.092,2,2
25,25.0,6,9,6,6,66.78,11.13,6,17.0,2,18,22.26,4.521050762820519,2.055,2,2
26,26.0,13,10,9,9,228.07,25.34111111111111,9,15.0,2,0,57.0175,24.28202678937654,-16.107,2,2
27,27.0,14,2,13,13,178.42,13.724615384615385,11,10.0,2,12,44.605,16.05943232703655,-7.891999999999999,2,2
28,28.0,12,7,12,12,234.6,19.55,12,10.0,2,17,58.65,25.729738954499062,-9.483999999999998,2,2
29,29.0,19,1,15,15,523.53,34.902,13,9.0,2,10,104.706,92.53414575171696,-55.815,2,2
30,30.0,9,16,9,9,206.88,22.986666666666665,9,12.0,2,6,51.72,29.34207218312981,-15.932,2,2
31,31.0,13,17,11,11,425.39,38.67181818181818,11,8.0,2,4,141.79666666666665,141.2452131342274,19.935,2,2
32,32.0,14,2,11,11,169.94,15.44909090909091,11,13.0,2,0,42.485,36.113349793855086,-3.248000000000001,2,2
33,33.0,14,8,9,9,169.42000000000002,18.824444444444445,9,15.0,2,8,42.355,23.20842734870245,-7.108000000000001,2,2
34,34.0,11,16,5,5,60.28,12.056,5,28.0,2,19,30.14,2.884995667241113,4.079999999999998,2,2
35,35.0,11,9,10,10,336.31,33.631,10,13.0,2,0,84.0775,72.49720057813727,-23.955,2,2
36,36.0,8,71,6,6,85.45,14.241666666666667,6,11.0,1,10,42.725,8.082230508962233,-11.429999999999993,2,2
37,37.0,10,16,9,9,227.11,25.23444444444444,9,12.0,2,5,56.7775,83.63306019950086,-53.905,2,2
38,38.0,10,10,9,9,126.46,14.051111111111112,9,14.0,2,20,42.15333333333333,21.6606794291715,-6.774999999999999,2,2
39,39.0,13,7,12,12,218.14,18.17833333333333,12,10.0,2,0,54.535,11.002916280089869,-6.676000000000002,2,2
40,40.0,11,2,11,11,228.54,20.77636363636364,10,13.0,2,6,45.708000000000006,31.769465214258805,-11.150000000000002,2,2
41,41.0,8,16,6,6,79.07,13.178333333333333,6,22.0,2,1,26.35666666666667,17.79222957735577,-16.97,2,2
42,42.0,13,64,10,10,200.17,20.017,10,6.0,2,16,66.72333333333333,55.303309424783365,-53.6,2,2
43,43.0,17,8,14,14,229.47,16.390714285714285,14,9.0,2,5,57.3675,27.44091516331043,19.803,2,2
44,44.0,15,8,12,12,480.86,40.071666666666665,12,11.0,2,3,160.28666666666666,179.5192725958228,-142.405,2,2
45,45.0,11,52,10,10,424.92,42.492,10,8.0,2,5,141.64,202.6348713820008,-165.42000000000002,2,2
46,46.0,16,10,10,10,238.88,23.888,8,12.0,2,20,59.72,33.11959238879609,-8.046000000000001,2,2
47,47.0,12,9,10,10,131.57,13.157,9,13.0,2,2,43.85666666666666,6.358304281279193,-3.3550000000000004,2,2
48,48.0,10,8,7,7,97.35,13.907142857142857,7,20.0,1,4,24.3375,14.129291973296704,-6.661,2,2
49,49.0,9,30,7,7,83.82,11.974285714285712,7,14.0,2,22,20.955,21.18003226311676,-13.168,2,2
50,50.0,11,3,8,8,183.67,22.95875,7,18.0,2,0,45.9175,40.63774548782613,-29.643,2,2
51,51.0,13,22,12,12,440.36,36.696666666666665,11,10.0,2,6,110.09,94.3174904246291,-48.262,2,2
52,52.0,9,2,6,6,387.62,64.60333333333334,6,24.0,2,0,129.20666666666668,162.3040715242022,123.26,2,2
53,53.0,15,8,10,10,280.97,28.097,9,13.0,2,0,70.2425,54.90380519599711,-21.507,2,2
54,54.0,13,2,12,12,287.57,23.964166666666667,12,10.0,2,21,57.514,65.47725964027511,14.744,2,2
55,55.0,5,3,4,4,81.65,20.4125,4,30.0,1,5,20.4125,16.52442712068006,7.023000000000001,2,2
56,56.0,10,8,9,9,335.07,37.23,9,15.0,2,5,83.76750000000001,112.36075215572384,11.745000000000005,2,2
57,57.0,16,3,13,13,283.2,21.784615384615385,12,9.0,1,17,56.64,31.617083198802504,-18.758,2,2
58,58.0,9,2,7,7,203.41,29.05857142857143,7,19.0,2,9,40.682,37.609070315550206,-13.992999999999997,2,2
59,59.0,16,31,14,14,344.94,24.638571428571428,14,7.0,2,15,86.23500000000001,85.44528873300546,-27.622000000000003,2,2
60,60.0,15,7,13,13,144.6,11.123076923076924,12,10.0,2,11,36.15,27.089508424234403,-3.644,2,2
61,61.0,11,9,9,9,91.08,10.12,7,14.0,1,16,22.77,19.628735737858072,-9.716,2,2
62,62.0,11,37,10,10,134.29,13.428999999999998,10,10.0,2,0,44.76333333333334,23.861647749753864,22.195,2,2
63,63.0,10,8,9,9,658.17,73.13,9,15.0,2,5,164.5425,224.86568722610096,143.189,2,2
64,64.0,10,9,8,8,113.0,14.125,8,16.0,2,1,37.66666666666666,25.214444934071683,-12.195,2,2
65,65.0,16,2,15,15,276.78000000000003,18.452,13,8.0,2,7,55.35600000000001,44.6878845997436,10.728000000000002,2,2
66,66.0,15,9,13,13,311.99,23.99923076923077,10,9.0,2,5,77.9975,77.97431387963603,-37.869,2,2
67,67.0,20,6,12,12,170.73,14.2275,11,10.0,2,2,42.6825,40.72123882775015,-5.781,2,2
68,68.0,10,7,10,10,159.03,15.903,7,13.0,2,0,39.7575,31.25110384717101,9.978999999999996,2,2
69,69.0,15,17,11,11,533.86,48.53272727272727,10,12.0,2,10,133.465,201.66946761140284,-115.308,2,2
70,70.0,19,7,18,18,536.3299999999999,29.796111111111102,14,7.0,2,0,134.08249999999998,185.2227547891097,-108.76899999999998,2,2
71,71.0,11,17,8,8,127.33,15.91625,8,16.0,2,1,31.8325,15.356460909554214,-6.283,2,2
72,72.0,23,2,15,15,334.93,22.328666666666667,12,9.0,2,16,83.7325,37.79798704957712,-11.928999999999998,2,3
73,73.0,12,7,11,11,252.54,22.958181818181817,10,12.0,3,0,63.135,32.76508456675591,-10.341999999999995,2,2
74,74.0,11,30,8,8,148.73999999999998,18.5925,7,12.0,2,18,37.185,31.13064781422534,-21.562,2,2
75,75.0,11,7,10,10,167.99,16.799,8,13.0,2,5,41.9975,26.987045503352164,19.959000000000003,2,2
76,76.0,15,2,8,8,219.5,27.4375,7,18.0,2,9,43.9,50.88451876553418,-19.612,2,2
77,77.0,12,7,10,10,254.09,25.409,9,13.0,2,1,84.69666666666666,21.1622596462035,-19.984999999999992,2,2
78,78.0,17,10,14,14,243.14,17.36714285714286,14,9.0,1,21,60.785,35.19239074951668,0.9739999999999972,2,2
79,79.0,10,15,7,7,174.79,24.97,6,6.0,2,2,87.39500000000001,112.67746558207637,-159.35000000000002,2,2
80,80.0,19,10,16,16,265.8,16.6125,13,8.0,1,17,66.45,56.39750526397422,-32.965999999999994,2,2
81,81.0,15,30,13,13,192.24,14.787692307692309,13,6.0,2,20,48.06,24.44416631154899,-5.505999999999999,2,2
82,82.0,17,3,15,15,207.46,13.830666666666668,14,8.0,2,5,41.492,33.47805281075947,0.3569999999999993,2,2
83,83.0,11,16,10,10,206.44,20.644,7,12.0,2,1,51.61,38.135046872922544,-7.4700000000000015,2,2
84,84.0,6,1,5,5,64.07,12.813999999999998,5,32.0,3,0,21.356666666666666,9.0521618044163,-4.035,2,2
85,85.0,16,3,11,11,288.23,26.202727272727277,11,11.0,2,17,57.646,29.02488466816018,-14.785,2,2
86,86.0,13,1,11,11,142.07,12.915454545454544,9,13.0,2,22,28.414,8.490496451916107,1.98,2,2
87,87.0,14,31,13,13,273.9,21.069230769230767,12,6.0,2,10,68.475,44.560189631553406,-32.058,2,2
88,88.0,9,6,8,8,177.54,22.1925,8,15.0,2,15,44.385,36.22828222995583,-21.742,2,2
89,89.0,16,3,15,15,311.91,20.794,15,9.0,2,2,62.38199999999999,64.59184213195967,-34.253,2,2
90,90.0,17,3,13,13,379.67,29.205384615384617,12,10.0,2,20,75.934,63.739350718374894,-36.459,2,2
91,91.0,9,2,8,8,199.33,24.91625,7,18.0,2,0,49.8325,50.04343604976248,-24.991000000000003,2,2
92,92.0,13,8,11,11,261.13,23.73909090909091,11,11.0,2,2,65.2825,45.48524257016408,13.082999999999998,2,2
93,93.0,8,15,5,5,64.01,12.802,5,23.0,1,13,21.33666666666667,5.075995797213915,-4.909999999999998,2,2
94,94.0,14,7,10,10,159.9,15.99,10,12.0,2,5,39.975,31.83644609563071,8.37,2,2
95,95.0,16,7,14,14,267.74,19.124285714285715,12,10.0,2,17,66.935,43.08341792383701,14.618,2,2
96,96.0,8,30,6,6,244.3,40.71666666666667,6,17.0,2,16,61.075,84.55351776636302,-19.192,2,2
97,97.0,9,3,6,6,94.32,15.72,6,24.0,2,0,31.44,12.110817478601518,11.66,2,2
98,98.0,17,15,15,15,262.78,17.518666666666665,11,8.0,2,10,65.695,19.65966174683583,-7.380000000000001,2,2
99,99.0,11,7,9,9,86.06,9.562222222222225,8,15.0,2,7,21.515,10.501284048470769,1.1659999999999997,2,2
100,100.0,1,7,1,1,32.93,32.93,1,0.0,4,21,32.93,0.0,0.0,2,2
101,101.0,2,78,1,1,100.96,100.96,1,0.0,3,4,100.96,0.0,0.0,2,2
102,102.0,1,10,1,1,19.99,19.99,1,0.0,1,21,19.99,0.0,0.0,2,2
103,103.0,1,7,1,1,110.79,110.79,1,0.0,4,1,110.79,0.0,0.0,5,2
104,105.0,2,7,2,2,8.99,4.495,1,0.0,2,4,8.99,0.0,0.0,1,2
105,107.0,1,30,1,1,9.07,9.07,1,0.0,2,17,9.07,0.0,0.0,2,2
106,108.0,1,79,1,1,23.06,23.06,1,0.0,2,21,23.06,0.0,0.0,3,2
107,110.0,2,93,2,2,25.69,12.845,2,28.0,2,5,12.845,7.601397897755386,10.75,2,2
108,113.0,1,51,1,1,26.22,26.22,1,0.0,2,3,26.22,0.0,0.0,2,2
109,114.0,3,80,2,2,65.98,32.99,2,27.0,1,7,32.99,4.242640687119287,6.000000000000004,3,2
110,115.0,1,72,1,1,11.49,11.49,1,0.0,2,14,11.49,0.0,0.0,3,2
111,116.0,2,43,1,1,6.0,6.0,1,0.0,3,2,6.0,0.0,0.0,2,2
112,120.0,1,73,1,1,2.97,2.97,1,0.0,1,16,2.97,0.0,0.0,2,2
113,121.0,1,100,1,1,17.5,17.5,1,0.0,2,23,17.5,0.0,0.0,2,2
114,126.0,1,114,1,1,16.0,16.0,1,0.0,2,6,16.0,0.0,0.0,2,2
115,127.0,1,37,1,1,19.08,19.08,1,0.0,2,4,19.08,0.0,0.0,2,2
116,130.0,1,100,1,1,5.96,5.96,1,0.0,2,20,5.96,0.0,0.0,1,2
117,136.0,1,31,1,1,79.97,79.97,1,0.0,1,19,79.97,0.0,0.0,2,2
118,138.0,1,94,1,1,8.85,8.85,1,0.0,1,20,8.85,0.0,0.0,2,2
119,139.0,2,30,2,2,59.69,29.845,2,91.0,2,7,29.845,25.23664102054788,-35.69,2,2
120,141.0,5,30,4,4,64.44,16.11,4,28.0,2,12,21.48,16.46518448120154,8.165,2,2
121,143.0,3,80,3,3,30.18,10.06,3,24.0,2,0,15.09,7.3114841174689,-10.339999999999998,2,2
122,144.0,1,7,1,1,7.97,7.97,1,0.0,4,13,7.97,0.0,0.0,2,2
123,147.0,2,17,2,2,37.94,18.97,2,111.0,1,7,18.97,15.584633457351508,22.04,2,2
124,150.0,1,66,1,1,6.98,6.98,1,0.0,1,20,6.98,0.0,0.0,1,2
125,152.0,1,86,1,1,9.63,9.63,1,0.0,2,5,9.63,0.0,0.0,2,2
126,154.0,1,115,1,1,8.34,8.34,1,0.0,1,21,8.34,0.0,0.0,1,2
127,161.0,1,99,1,1,10.99,10.99,1,0.0,3,10,10.99,0.0,0.0,2,2
128,162.0,1,87,1,1,20.91,20.91,1,0.0,1,22,20.91,0.0,0.0,2,2
129,164.0,1,7,1,1,42.89,42.89,1,0.0,4,1,42.89,0.0,0.0,2,2
130,168.0,1,114,1,1,25.78,25.78,1,0.0,2,12,25.78,0.0,0.0,1,2
131,169.0,2,3,2,2,3.82,1.91,2,119.0,1,15,1.91,1.4566399692442875,2.06,2,2
132,171.0,1,114,1,1,7.18,7.18,1,0.0,2,10,7.18,0.0,0.0,2,2
133,172.0,1,43,1,1,49.33,49.33,1,0.0,3,10,49.33,0.0,0.0,2,2
134,174.0,1,80,1,1,6.47,6.47,1,0.0,1,21,6.47,0.0,0.0,1,2
135,176.0,2,93,2,2,103.77,51.885,2,27.0,2,0,51.885,68.03074341795774,96.21,2,2
136,178.0,2,15,2,2,114.8,57.4,2,71.0,2,5,57.4,20.43538597629122,28.89999999999999,3,2
137,182.0,1,92,1,1,9.83,9.83,1,0.0,3,12,9.83,0.0,0.0,1,2
138,185.0,2,58,2,2,36.74,18.37,2,14.0,2,13,18.37,17.507963902178915,-24.76,2,2
139,190.0,4,31,4,4,41.21,10.302499999999998,4,26.0,1,16,10.302499999999998,7.541531122170529,3.499,2,2
140,192.0,1,79,1,1,15.37,15.37,1,0.0,2,23,15.37,0.0,0.0,2,2
141,193.0,1,86,1,1,21.45,21.45,1,0.0,2,1,21.45,0.0,0.0,2,2
142,195.0,4,65,3,3,58.41,19.47,3,14.0,2,9,29.205,20.14547219600474,-28.49,2,2
143,199.0,2,92,1,1,3.98,3.98,1,0.0,3,7,3.98,0.0,0.0,1,2
144,202.0,1,44,1,1,73.55,73.55,1,0.0,2,10,73.55,0.0,0.0,2,2
145,203.0,1,86,1,1,2.95,2.95,1,0.0,2,4,2.95,0.0,0.0,2,2
146,208.0,1,108,1,1,4.19,4.19,1,0.0,1,18,4.19,0.0,0.0,2,2
147,211.0,1,65,1,1,49.95,49.95,1,0.0,2,6,49.95,0.0,0.0,2,2
148,212.0,1,121,1,1,15.81,15.81,1,0.0,2,4,15.81,0.0,0.0,2,2
149,213.0,1,31,1,1,16.7,16.7,1,0.0,1,20,16.7,0.0,0.0,1,2
150,219.0,2,31,2,2,16.06,8.03,2,84.0,1,16,8.03,8.895403307326768,-12.58,1,2
151,221.0,1,86,1,1,14.44,14.44,1,0.0,2,19,14.44,0.0,0.0,2,2
152,223.0,1,43,1,1,11.62,11.62,1,0.0,3,11,11.62,0.0,0.0,2,2
153,226.0,2,30,2,2,33.84,16.92,2,56.0,2,8,16.92,15.47149637236166,-21.88,2,2
154,228.0,1,114,1,1,6.21,6.21,1,0.0,2,0,6.21,0.0,0.0,2,2
155,229.0,2,64,1,1,17.49,17.49,1,0.0,3,12,17.49,0.0,0.0,2,2
156,230.0,1,65,1,1,17.99,17.99,1,0.0,2,5,17.99,0.0,0.0,2,2
157,231.0,1,72,1,1,24.99,24.99,1,0.0,2,17,24.99,0.0,0.0,2,2
158,232.0,1,114,1,1,8.97,8.97,1,0.0,2,8,8.97,0.0,0.0,2,2
159,233.0,1,23,1,1,12.17,12.17,1,0.0,2,5,12.17,0.0,0.0,2,2
160,234.0,2,38,2,2,41.07,20.535,2,27.0,1,8,41.07,0.0,0.0,2,2
161,237.0,1,86,1,1,33.51,33.51,1,0.0,2,5,33.51,0.0,0.0,2,2
